,text,,,
1,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),,,
2,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,,,
3,Send me yetty's number pls.,,,
4,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,,,
5,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,,,
6,Hey we can go jazz power yoga hip hop kb and yogasana ,,,
7,Hey mate. Spoke to the mag people. We‰Û÷re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. ,,,
8,Morning only i can ok.,,,
9,Wat time Ì_ finish?,,,
10,Shant disturb u anymore... Jia you...,,,
11,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,,,
12,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,,,
13,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night",,,
14,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
15,Unless it's a situation where YOU GO GURL would be more appropriate,,,
16,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,,,
17,Bring tat cd don forget,,,
18,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",,,
19,Jay's getting really impatient and belligerent,,,
20,Lol they were mad at first but then they woke up and gave in.,,,
,,,,
,Results ,,,Closer to 1 means more likely a SPAM
1,[1.7991018e-12],,,
2,[0.00095935],,,
3,[6.080545e-05],,,
4,[1.87461e-06],,,
5,[1.7859245e-09],,,
6,[3.5500648e-06],,,
7,[2.412142e-07],,,
8,[9.308204e-07],,,
9,[3.612708e-05],,,
10,[9.978825e-05],,,
11,[0.99998564],,,
12,[9.186048e-06],,,
13,[7.855493e-06],,,
14,[0.9999639],,,
15,[2.331313e-05],,,
16,[9.697808e-12],,,
17,[9.866661e-05],,,
18,[2.6073515e-06],,,
19,[0.00029802],,,
20,[6.648781e-07],,,
